lat;lon;microtesla
-1.0130488;-79.4681849;26.65133775
-1.0130326;-79.4681462;23.93032982142857
-1.0129943;-79.4681132;22.234004160714285
-1.012963;-79.4680856;25.979625321428568
-1.0129568;-79.4680493;26.374905375
-1.0129324;-79.4680094;28.134049517857143
-1.0128916;-79.4679778;28.042880517857142
-1.0128724;-79.467969;29.35624885714285
-1.012861;-79.4679346;28.74856698214285
-1.0128184;-79.4679273;24.982173839285718
-1.0127819;-79.4679161;25.54909032142857
-1.0127511;-79.4678915;27.92909660714286
-1.0127263;-79.4678685;30.403881357142858
-1.0126844;-79.4678459;31.93258319642857
-1.0126722;-79.4678217;36.10327405357143
-1.0126609;-79.4677942;32.207269857142855
-1.0126526;-79.4677699;11.739562553571428
-1.0126582;-79.4677221;33.791430517857144
-1.0126683;-79.467674;35.83349757142857
-1.0126851;-79.46764;33.75438914285714
-1.0126991;-79.4675951;28.218109071428568
-1.012703;-79.4675478;28.50903207142857
-1.0127137;-79.4675028;34.481801607142856
-1.0127023;-79.4674715;38.30150655357143
-1.0127077;-79.4674261;31.662827125
-1.0127172;-79.4673784;26.997294964285715
-1.0126894;-79.4673364;35.331189625
-1.0126433;-79.4673246;33.48213066071428
-1.012599;-79.4673391;28.162213410714287
-1.0125826;-79.4673631;26.525090089285715
-1.0125806;-79.467395;27.069352857142857
-1.0125934;-79.4674487;27.995501035714284
-1.0126031;-79.4674902;29.313831232142856
-1.0126119;-79.4675269;30.747246285714287
-1.0125964;-79.4675662;32.84295769642857
-1.0126175;-79.4676096;32.52929408928571
-1.0126193;-79.4676471;32.01894032142857
-1.0125814;-79.4676872;30.88783225
-1.0125543;-79.4677268;30.825935125
-1.0125208;-79.4677638;30.49157396428572
-1.012495;-79.4678089;31.26666371428572
-1.0124858;-79.4678449;31.62230146428572
-1.0124853;-79.4678823;29.65917232142857
-1.012518;-79.4679476;28.421344678571423
-1.0125423;-79.4679943;25.268058875
-1.0125571;-79.4680337;25.10217933928572
-1.0125569;-79.4680774;26.886638535714287
-1.0125678;-79.4681232;28.28757155357143
-1.0125529;-79.4681674;29.53184882142857
-1.0125493;-79.4682077;29.865596196428573
-1.0125578;-79.4682014;29.914734017857143
-1.0125742;-79.4682129;33.331241160714285
-1.0125691;-79.4682117;32.448211892857145
-1.0125707;-79.4682089;32.139733767857145
-1.0125748;-79.4682153;32.08540632142857
-1.0125789;-79.4682366;31.53018942857143
-1.0125938;-79.4682999;30.63803892857143
-1.0125672;-79.4683516;29.186868178571427
-1.0125678;-79.4683968;28.356827214285715
-1.0125846;-79.4684436;30.047489214285715
-1.0125894;-79.4684923;31.17533983928572
-1.0125872;-79.4685423;31.71284060714285
-1.0125821;-79.4685827;31.78239832142857
-1.0125825;-79.4686249;31.57250451785714
-1.0125573;-79.4686559;31.278900642857145
-1.0125267;-79.4686519;31.47629978571429
-1.0124947;-79.4686885;31.772402982142857
-1.0124868;-79.4687332;31.77795030357143
-1.0124823;-79.4687805;31.775159392857145
-1.0124645;-79.4688304;32.011294125
-1.0124434;-79.4688763;31.932558035714287
-1.0124137;-79.4689173;31.792645517857142
-1.0124149;-79.4689752;31.412685267857142
-1.0124025;-79.469011;31.649737214285715
-1.0123916;-79.4690443;31.779847071428573
-1.01241;-79.4690812;31.891419875
-1.0124164;-79.4691235;31.88272280357143
-1.0124078;-79.4691773;31.811330410714284
-1.0124306;-79.4692231;31.792648232142856
-1.0124122;-79.4692698;31.58794544642857
-1.0123967;-79.4693055;31.765870392857146
-1.0123955;-79.4693429;31.59277803571429
-1.0123763;-79.4693868;31.270264053571427
-1.0123895;-79.469432;30.913560875
-1.0123982;-79.4694786;30.905123357142852
-1.0123836;-79.4695218;30.98300182142857
-1.0123724;-79.4695623;31.123529821428573
-1.0123818;-79.469587;31.3815055
-1.012388;-79.4695978;30.80538871428572
-1.012396;-79.4695944;31.340659714285717
-1.0123959;-79.4695783;31.090628392857145
-1.0124001;-79.4695563;30.70246851785714
-1.0123988;-79.4695524;31.45841748214286
-1.012404;-79.4695552;30.843143642857143
-1.0124041;-79.4695582;30.76248175
-1.0124071;-79.469561;30.042425767857143
-1.0124117;-79.4695495;29.45659446428571
-1.0124042;-79.4695686;29.84241369642857
-1.0124038;-79.4695606;30.33373630357143
-1.0124025;-79.4695589;32.03342151785714
-1.0124081;-79.469556;30.512437428571427
-1.0124172;-79.4695539;26.51337307142857
-1.0124064;-79.4695574;27.835799428571427
-1.0123634;-79.4695569;29.71877130357143
-1.0122976;-79.4695661;30.26511480357143
-1.0122865;-79.4695716;28.542439232142858
-1.0123293;-79.4695756;22.73771225
-1.0123225;-79.469572;23.048079892857142
-1.0123163;-79.4695988;22.85279678571429
-1.0123193;-79.4696547;22.49374130357143
-1.0123458;-79.4697217;24.46656308928572
-1.0123378;-79.4697679;24.88314582142857
-1.0123652;-79.4698097;23.470564
-1.0123947;-79.4698473;23.360951
-1.0124216;-79.4698946;22.794879767857143
-1.0124141;-79.4699505;21.96339294642857
-1.0123928;-79.4700248;22.464634642857146
-1.0123824;-79.470072;23.031348410714287
-1.0123849;-79.4701048;23.045544714285715
-1.0123968;-79.470135;23.161030107142857
-1.0124062;-79.4701744;22.89617551785714
-1.0123978;-79.4702227;22.706084625
-1.0123894;-79.4702641;22.961658642857145
-1.0123959;-79.4703;23.299208053571427
-1.0123948;-79.470336;22.91370714285714
-1.0123898;-79.4703676;23.315411160714287
-1.0123709;-79.4704145;22.748274
-1.012366;-79.4704609;22.834332875
-1.01237;-79.4705001;23.535920428571423
-1.0123942;-79.4705609;23.33404805357143
-1.0124027;-79.4706006;23.49805882142857
-1.0123753;-79.4706475;23.46484425
-1.0123639;-79.4706919;22.689425160714286
-1.0123721;-79.4707358;23.165043392857143
-1.0123871;-79.4707756;22.646266642857142
-1.0124043;-79.4708181;23.135161875
-1.012415;-79.4708679;23.016557142857145
-1.0124066;-79.4708826;22.955972214285715
-1.0124177;-79.4709356;22.81128623214286
-1.012418;-79.4709786;23.302732267857145
-1.0124116;-79.4710442;22.83070085714286
-1.0123972;-79.4710889;23.116915142857145
-1.0123882;-79.4711365;22.154196089285712
-1.0123875;-79.4711824;21.30690730357143
-1.012372;-79.4712155;22.151910178571427
-1.0123603;-79.4712214;22.16703066071429
-1.0123547;-79.4712353;22.439843982142857
-1.0123322;-79.4712676;22.19575483928572
-1.012339;-79.4712766;21.825668660714285
-1.0123401;-79.4713237;22.09437430357143
-1.0123376;-79.4713737;22.513870035714287
-1.0123289;-79.4714051;22.28348930357143
-1.0123244;-79.4714668;21.482188
-1.0123498;-79.4715164;22.164414392857143
-1.0123772;-79.4715334;23.01011335714286
-1.0124037;-79.4715449;23.278180482142854
-1.0123524;-79.471576;23.148248428571428
-1.0124074;-79.4715644;23.17332330357143
-1.0124813;-79.4715468;22.633145910714287
-1.0125414;-79.4715324;22.97237928571429
-1.0125723;-79.4715098;23.295388535714288
-1.0125837;-79.4714686;22.77461483928571
-1.0125954;-79.4714337;22.48340575
-1.0126604;-79.471484;22.524776660714284
-1.0127046;-79.4714316;22.231890535714285
-1.0127059;-79.4713983;22.147313142857143
-1.0127187;-79.4713564;22.484007232142854
-1.0127054;-79.4712998;22.22957932142857
-1.0127013;-79.4712496;22.746149339285715
-1.0126135;-79.4712097;22.87772517857143
-1.0125496;-79.4711926;23.039686392857146
-1.0125029;-79.4711555;23.127863125
-1.0124902;-79.4710801;23.006578053571427
-1.0124864;-79.4710257;22.629980875
-1.0124847;-79.4709727;22.02788030357143
-1.0124887;-79.4709256;21.7464665
-1.0125096;-79.4708904;21.574794714285712
-1.0125611;-79.4708925;22.024941517857144
-1.0126531;-79.4709358;22.98128105357143
-1.0126899;-79.4709493;23.393089625
-1.0127269;-79.470954;23.574359892857142
-1.0127542;-79.4710182;23.93666
-1.0127864;-79.471012;24.44096089285714
-1.0128218;-79.4710197;23.14862244642857
-1.0128134;-79.4709092;21.85142780357143
-1.0128109;-79.4708583;22.002839357142857
-1.0128003;-79.470817;21.727157910714286
-1.0127889;-79.4707944;22.35117441071429
-1.0127634;-79.4707726;22.723346803571427
-1.0127715;-79.4707863;23.589386535714286
-1.0127712;-79.4707835;24.214212535714285
-1.0127776;-79.4707902;24.205566160714284
-1.0127982;-79.4708182;23.21190676785714
-1.0127983;-79.4708183;23.156925089285718
-1.0127983;-79.4708183;23.255247375
-1.0128399;-79.4707999;23.225673464285716
-1.0128432;-79.4707984;23.160661910714285
-1.0128433;-79.4707983;21.464901303571427
-1.0128433;-79.4707983;21.14382707142857
-1.0128433;-79.4707983;22.133290732142857
-1.0128535749999998;-79.47066763;22.359193083035713
-1.01286385;-79.47053696;22.585095433928572
-1.012874125;-79.47040629;22.810997784821428
-1.0128844;-79.47027562;23.036900135714287
-1.0128946749999999;-79.47014494999999;23.262802486607143
-1.0129049499999998;-79.47001428;23.4887048375
-1.012915225;-79.46988361;23.714607188392858
-1.0129255;-79.46975293999999;23.940509539285713
-1.0129357749999999;-79.46962227;24.166411890178573
-1.01294605;-79.4694916;24.39231424107143
-1.012956325;-79.46936093;24.618216591964284
-1.0129666;-79.46923026;24.844118942857143
-1.0129768749999999;-79.46909959;25.07002129375
-1.0129871499999998;-79.46896892;25.29592364464286
-1.012997425;-79.46883825;25.521825995535714
-1.0130077;-79.46870758;25.74772834642857
-1.013017975;-79.46857691;25.97363069732143
-1.01302825;-79.46844623999999;26.199533048214285
-1.013038525;-79.46831557;26.425435399107144
-1.0130488;-79.4681849;26.65133775
