Second,microtesla
0.1,20.672333
0.2,24.924637
0.3,24.924637
0.4,25.540188
0.5,25.540188
0.6,25.691835
0.7,25.691835
0.8,26.147263
0.9,26.147263
1.0,26.001244
1.1,26.001244
1.2,25.882452
1.3,25.882452
1.4,26.306334
1.5,26.306334
1.6,26.182419
1.7,26.182419
1.8,26.294762
1.9,26.337606
2.0,26.51758
2.1,26.51758
2.2,26.29693
2.3,26.29693
2.4,26.720392
2.5,26.720392
2.6,26.751184
2.7,26.751184
2.8,26.621784
2.9,26.621784
3.0,26.598728
3.1,26.598728
3.2,26.64696
3.3,26.64696
3.4,26.88134
3.5,26.88134
3.6,26.574125
3.7,26.574125
3.8,26.530586
3.9,26.530586
4.0,27.06419
4.1,27.06419
4.2,27.729275
4.3,27.729275
4.4,28.21885
4.5,28.21885
4.6,27.73735
4.7,27.73735
4.8,27.210207
4.9,27.210207
5.0,27.78716
5.1,27.78716
5.2,28.131735
5.3,28.131735
5.4,28.450998
5.5,28.450998
5.6,28.878721
5.7,28.878721
5.8,28.82199
5.9,28.674042
6.0,29.10257
6.1,29.10257
6.2,28.377766
6.3,28.377766
6.4,28.08117
6.5,28.08117
6.6,28.053581
6.7,28.053581
6.8,27.827456
6.9,27.827456
7.0,27.685205
7.1,27.685205
7.2,26.545021
7.3,26.545021
7.4,26.13552
7.5,26.13552
7.6,25.315897
7.7,25.315897
7.8,24.619059
7.9,24.619059
8.0,24.439642
8.1,24.439642
8.2,23.655966
8.3,23.655966
8.4,23.19478
8.5,23.19478
8.6,22.834024
8.7,22.834024
8.8,21.948387
8.9,21.948387
9.0,21.25352
9.1,21.25352
9.2,21.566856
9.3,21.566856
9.4,20.945133
9.5,20.945133
9.6,20.633867
9.7,20.633867
9.8,21.049658
9.9,21.049658
10.0,20.934576
10.1,20.934576
10.2,20.503534
10.3,20.503534
10.4,20.649096
10.5,20.649096
10.6,20.631403
10.7,20.631403
10.8,20.583693
10.9,20.583693
11.0,20.165642
11.1,20.165642
11.2,20.257673
11.3,20.257673
11.4,20.504372
11.5,20.504372
11.6,21.407902
11.7,21.407902
11.8,21.669231
11.9,21.669231
12.0,21.203796
12.1,21.203796
12.2,21.459322
12.3,21.459322
12.4,21.614998
12.5,21.614998
12.6,21.360697
12.7,21.360697
12.8,21.36918
12.9,21.36918
13.0,21.693882
13.1,21.693882
13.2,22.081978
13.3,22.081978
13.4,21.51033
13.5,21.51033
13.6,21.385216
13.7,21.385216
13.8,21.624712
13.9,21.624712
14.0,21.504677
14.1,21.504677
14.2,22.078323
14.3,22.078323
14.4,22.776041
14.5,22.776041
14.6,22.681427
14.7,22.681427
14.8,22.20716
14.9,22.20716
15.0,21.912254
15.1,21.912254
15.2,22.355364
15.3,22.355364
15.4,22.613052
15.5,22.613052
15.6,22.691143
15.7,22.691143
15.8,23.030329
15.9,23.030329
16.0,23.779108
16.1,23.779108
16.2,24.320429
16.3,24.320429
16.4,24.148798
16.5,24.148798
16.6,24.789804
16.7,24.789804
16.8,25.29951
16.9,25.29951
17.0,25.427595
17.1,25.427595
17.2,25.940533
17.3,25.940533
17.4,26.30098
17.5,26.30098
17.6,26.566183
17.7,26.566183
17.8,26.058207
17.9,26.058207
18.0,26.745327
18.1,26.745327
18.2,26.734434
18.3,26.734434
18.4,26.376425
18.5,26.376425
18.6,26.431618
18.7,26.431618
18.8,25.633749
18.9,25.633749
19.0,25.500013
19.1,25.500013
19.2,25.70024
19.3,25.70024
19.4,25.518766
19.5,25.518766
19.6,25.617447
19.7,25.617447
19.8,25.632664
19.9,25.632664
20.0,25.902672
20.1,25.902672
20.2,25.559273
20.3,25.559273
20.4,25.603292
20.5,25.603292
20.6,26.35507
20.7,26.35507
20.8,26.30408
20.9,26.30408
21.0,26.102867
21.1,25.962458
21.2,26.077768
21.3,26.077768
21.4,26.026592
